iter	Passed	Remaining
0	44	44046
1	101	50828
2	166	55301
3	230	57402
4	307	61234
5	381	63202
6	452	64151
7	514	63760
8	593	65380
9	667	66086
10	734	66065
11	924	76131
12	985	74809
13	1045	73663
14	1103	72442
15	1151	70842
16	1209	69929
17	1265	69065
18	1325	68424
19	1381	67691
20	1439	67098
21	1500	66695
22	1569	66682
23	1628	66205
24	1686	65782
25	1734	64983
26	1791	64551
27	1841	63923
28	1898	63577
29	1955	63236
30	2009	62814
31	2062	62397
32	2117	62047
33	2172	61726
34	2228	61445
35	2280	61054
36	2334	60759
37	2391	60553
38	2449	60365
39	2500	60016
40	2560	59897
41	2626	59905
42	2686	59794
43	2737	59484
44	2794	59300
45	2851	59141
46	2908	58973
47	2964	58799
48	3023	58674
49	3082	58563
50	3127	58203
51	3180	57981
52	3239	57889
53	3295	57732
54	3360	57731
55	3425	57739
56	3482	57619
57	3535	57413
58	3589	57244
59	3645	57110
60	3701	56971
61	3760	56887
62	3822	56849
63	3876	56696
64	3932	56574
65	3986	56417
66	4041	56284
67	4098	56169
68	4153	56043
69	4208	55909
70	4256	55696
71	4318	55665
72	4377	55588
73	4425	55377
74	4481	55266
75	4536	55148
76	4591	55043
77	4642	54875
78	4689	54667
79	4744	54567
80	4799	54457
81	4851	54314
82	4905	54196
83	4954	54031
84	5010	53932
85	5067	53856
86	5122	53761
87	5177	53662
88	5229	53527
89	5286	53452
90	5344	53382
91	5400	53304
92	5458	53232
93	5511	53120
94	5568	53042
95	5619	52920
96	5676	52843
97	5731	52751
98	5790	52701
99	5847	52626
100	5899	52512
101	5956	52444
102	6013	52367
103	6067	52277
104	6124	52205
105	6184	52155
106	6241	52088
107	6294	51984
108	6350	51908
109	6404	51818
110	6460	51744
111	6516	51670
112	6571	51580
113	6621	51460
114	6678	51394
115	6733	51317
116	6790	51248
117	6846	51172
118	6903	51109
119	6958	51025
120	7014	50955
121	7072	50897
122	7127	50821
123	7185	50758
124	7242	50694
125	7298	50628
126	7354	50556
127	7411	50488
128	7466	50416
129	7523	50351
130	7580	50288
131	7634	50204
132	7687	50114
133	7735	49992
134	7790	49917
135	7837	49790
136	7891	49708
137	7946	49633
138	8002	49569
139	8061	49518
140	8107	49392
141	8165	49339
142	8220	49263
143	8268	49149
144	8319	49058
145	8375	48992
146	8430	48919
147	8489	48869
148	8543	48793
149	8599	48730
150	8651	48643
151	8707	48577
152	8757	48478
153	8809	48392
154	8864	48328
155	8920	48262
156	8974	48187
157	9032	48134
158	9090	48083
159	9144	48010
160	9193	47906
161	9249	47844
162	9307	47795
163	9364	47735
164	9419	47669
165	9465	47553
166	9522	47499
167	9579	47443
168	9638	47391
169	9689	47307
170	9744	47240
171	9794	47152
172	9846	47069
173	9902	47006
174	9958	46947
175	10012	46874
176	10068	46815
177	10120	46736
178	10174	46665
179	10230	46603
180	10289	46557
181	10347	46505
182	10405	46453
183	10462	46397
184	10519	46344
185	10572	46269
186	10625	46195
187	10681	46133
188	10738	46077
189	10794	46017
190	10851	45962
191	10906	45898
192	10959	45824
193	11008	45734
194	11065	45681
195	11122	45624
196	11176	45555
197	11232	45498
198	11291	45449
199	11345	45382
200	11403	45331
201	11459	45271
202	11516	45216
203	11571	45152
204	11630	45103
205	11687	45047
206	11738	44967
207	11792	44903
208	11847	44840
209	11901	44773
210	11956	44709
211	12012	44651
212	12067	44588
213	12124	44530
214	12179	44469
215	12233	44403
216	12289	44343
217	12346	44287
